id,name,agent_type,ai_model,temperature,top_p,max_tokens,timeout,retries
52,Test Executor - LMStudio - xiyansql-qwencoder,TESTEXECUTOR,32,0.20,0.95,1280,45.0,3
74,Test Executor - ORFree - Kimi K2,EXTRACTKEYWORDS,41,0.30,0.95,1280,45.0,3
75,Test Executor - ORFree - Qwen3 32b,EXTRACTKEYWORDS,42,0.30,0.95,1280,45.0,3
34,Test Executor - OpenRouter Gemini 2.5 Flash,TESTEXECUTOR,22,0.80,0.95,1280,45.0,3
15,Test Executor - OpenRouter Gemini 2.5 Pro,TESTEXECUTOR,17,0.80,0.95,1280,45.0,3
39,Test Executor - OpenRouter Mistral Medium,TESTEXECUTOR,28,0.80,0.95,1280,45.0,3
41,Test Executor - OpenRouter Mistral Small,TESTEXECUTOR,23,0.80,0.95,1280,45.0,3
18,Test Executor - OperRouter - Gpt 4.1,TESTEXECUTOR,19,0.80,0.95,1280,45.0,3
51,Test Generator - LMStudio - xiyansql-qwencoder,TESTGENERATOR,32,0.20,0.95,1280,45.0,3
66,Test Generator - ORFree - Deepseek V3,TESTGENERATOR,25,0.50,0.95,1280,45.0,3
73,Test Generator - ORFree - Kimi K2,TESTGENERATOR,41,0.30,0.95,1280,45.0,3
16,Test Generator - OpenRouter - Gemini 2.5 Flash,TESTGENERATOR,22,0.80,0.95,1280,45.0,3
17,Test Generator - OpenRouter - Gemini 2.5 Pro,TESTGENERATOR,17,0.80,0.95,1280,45.0,3
38,Test Generator - OpenRouter - Mistral Medium,TESTGENERATOR,28,0.80,0.95,1280,45.0,3
40,Test Generator - OpenRouter - Mistral Small,TESTGENERATOR,23,0.80,0.95,1280,45.0,3
