id,name,description,generated_comment,sql_db
339,product,"Rappresenta un prodotto astratto generico (es. standard, sottoscrizione, libro o corso). Non è direttamente vendibile; le sue varianti, contenute nella tabella product_item, sono vendibili. Tipo di prodotto (STANDARD, CDROM, BOOK, COURSE, SUBSCRIPTION) funge da discriminatore. Le colonne 'code' e 'type' sono importanti per l'identificazione e la classificazione del prodotto.","Rappresenta un prodotto astratto generico (es. standard, sottoscrizione, libro o corso). Non è direttamente vendibile; le sue varianti, contenute nella tabella product_item, sono vendibili. Tipo di prodotto (STANDARD, CDROM, BOOK, COURSE, SUBSCRIPTION) funge da discriminatore. Le colonne 'code' e 'type' sono importanti per l'identificazione e la classificazione del prodotto.",9
340,external_reference,Riferimenti a standard esterni non presenti nel database. Include il nome della norma esterna e una sua descrizione.,Riferimenti a standard esterni non presenti nel database. Include il nome della norma esterna e una sua descrizione.,9
341,project_to_external_reference,Not enough information to make a valid prediction,Not enough information to make a valid prediction,9
342,project,"Rappresenta un'entità corrispondente a un progetto standard, collegata in modo univoco a uno Standard (Norma). Registra dettagli come l'origine del progetto (UNI, ISO, CEN), identificativi originali, tipo e numero progressivo del documento, codice progetto UNI, e il work item per progetti CEN.","Rappresenta un'entità corrispondente a un progetto standard, collegata in modo univoco a uno Standard (Norma). Registra dettagli come l'origine del progetto (UNI, ISO, CEN), identificativi originali, tipo e numero progressivo del documento, codice progetto UNI, e il work item per progetti CEN.",9
343,macro_stage,"Fasi principali o macro-stadi di un processo, con traduzioni in italiano e inglese. I campi 'id' e 'code' identificano univocamente ciascuno stadio, mentre i campi 'description_in_italian' e 'description_in_english' ne forniscono la descrizione in diverse lingue.","Fasi principali o macro-stadi di un processo, con traduzioni in italiano e inglese. I campi 'id' e 'code' identificano univocamente ciascuno stadio, mentre i campi 'description_in_italian' e 'description_in_english' ne forniscono la descrizione in diverse lingue.",9
344,property,"Memorizza le proprietà di entità generiche nel sistema. Questi valori possono includere flag booleani, date, numeri o testo associati a uno specifico 'name' e 'type', e sono correlati a processi e stage tramite 'process_id' e 'stage_id'.","Memorizza le proprietà di entità generiche nel sistema. Questi valori possono includere flag booleani, date, numeri o testo associati a uno specifico 'name' e 'type', e sono correlati a processi e stage tramite 'process_id' e 'stage_id'.",9
345,property_help,"Fornisce metadati e configurazioni di visualizzazione per le proprietà, definendo il nome, la lunghezza di visualizzazione, il nome visualizzato, il testo di aiuto, l'ordine di visualizzazione e la modalità di visualizzazione (sola lettura, lettura/scrittura o nascosta).","Fornisce metadati e configurazioni di visualizzazione per le proprietà, definendo il nome, la lunghezza di visualizzazione, il nome visualizzato, il testo di aiuto, l'ordine di visualizzazione e la modalità di visualizzazione (sola lettura, lettura/scrittura o nascosta).",9
346,role,Elenco dei ruoli utente disponibili. Ogni ruolo è identificato da un nome univoco.,Elenco dei ruoli utente disponibili. Ogni ruolo è identificato da un nome univoco.,9
347,standard,"Rappresenta una categoria astratta di prodotto che corrisponde a uno Standard, identificato da un acronimo, un numero e un anno di pubblicazione, fungendo da contenitore per prodotti (SKU, articoli, ecc.). Mette in relazione diverse lingue di pubblicazione, date di pubblicazione, stati e informazioni sul processo di produzione, inclusi dettagli da sistemi come iso_product e iso_project.","Rappresenta una categoria astratta di prodotto che corrisponde a uno Standard, identificato da un acronimo, un numero e un anno di pubblicazione, fungendo da contenitore per prodotti (SKU, articoli, ecc.). Mette in relazione diverse lingue di pubblicazione, date di pubblicazione, stati e informazioni sul processo di produzione, inclusi dettagli da sistemi come iso_product e iso_project.",9
348,relationship_type,"Elenca i predicati consentiti per vari tipi di relazioni, inclusi i rapporti tra progetto e progetto, corpo tecnico e progetto, corpo tecnico e corpo tecnico, prodotto e prodotto, e utente e corpo tecnico. Contiene anche descrizioni leggibili del tipo di relazione.","Elenca i predicati consentiti per vari tipi di relazioni, inclusi i rapporti tra progetto e progetto, corpo tecnico e progetto, corpo tecnico e corpo tecnico, prodotto e prodotto, e utente e corpo tecnico. Contiene anche descrizioni leggibili del tipo di relazione.",9
349,project_to_technical_body,"Associa progetti a organismi tecnici, indicando la data di inizio della relazione.","Associa progetti a organismi tecnici, indicando la data di inizio della relazione.",9
350,stage_type,"Elenca le fasi di progetto consentite per i progetti UNI, CEN e ISO, definendo le diverse fasi che un progetto può attraversare. Include dettagli sul codice della fase, la descrizione e l'autorità di codifica (originatore).","Elenca le fasi di progetto consentite per i progetti UNI, CEN e ISO, definendo le diverse fasi che un progetto può attraversare. Include dettagli sul codice della fase, la descrizione e l'autorità di codifica (originatore).",9
351,standard_document,"Contiene i documenti testuali (in una lingua specifica) appartenenti a un determinato standard, inclusi testi originali, Errata Corrige e versioni corrette, che UNI produce per la vendita. Ogni documento è identificato univocamente da un ID corrispondente all'ID del componente e include dettagli sul tipo di documento, lingua, tipo MIME del file, numero di pagine, URL originale, titolo, URI nel repository locale, checksum, data di rilascio, ID originale dal server Harmonia, tipo MIME del file originale, estensione del file originale e stato di download.","Contiene i documenti testuali (in una lingua specifica) appartenenti a un determinato standard, inclusi testi originali, Errata Corrige e versioni corrette, che UNI produce per la vendita. Ogni documento è identificato univocamente da un ID corrispondente all'ID del componente e include dettagli sul tipo di documento, lingua, tipo MIME del file, numero di pagine, URL originale, titolo, URI nel repository locale, checksum, data di rilascio, ID originale dal server Harmonia, tipo MIME del file originale, estensione del file originale e stato di download.",9
352,standard_title,"Contiene i titoli degli standard; per ISO il titolo è rappresentato dal campo iso_producttitle, e per CEN è rappresentato dal campo prx_wititle. La colonna title_first_part, title_second_part e title_third_part contengono le diverse parti del titolo dei progetti a seconda che siano CEN/ISO/UNI.","Contiene i titoli degli standard; per ISO il titolo è rappresentato dal campo iso_producttitle, e per CEN è rappresentato dal campo prx_wititle. La colonna title_first_part, title_second_part e title_third_part contengono le diverse parti del titolo dei progetti a seconda che siano CEN/ISO/UNI.",9
353,subscription,Non ci sono informazioni sufficienti per fare una previsione valida.,Non ci sono informazioni sufficienti per fare una previsione valida.,9
354,sync_table,Not enough information to make a valid prediction,Not enough information to make a valid prediction,9
355,teacher_to_classification,Associa insegnanti a elementi di classificazione specifici all'interno dello schema di classificazione UNI del Prodotto. Ogni associazione specifica un tipo di classificazione e un identificatore di classificazione.,Associa insegnanti a elementi di classificazione specifici all'interno dello schema di classificazione UNI del Prodotto. Ogni associazione specifica un tipo di classificazione e un identificatore di classificazione.,9
356,teacher,"Memorizza i dati anagrafici dei docenti. L'identificatore unico di ogni docente è gestito internamente; viene inoltre registrato un identificatore esterno, potenzialmente correlato a sistemi differenti.","Memorizza i dati anagrafici dei docenti. L'identificatore unico di ogni docente è gestito internamente; viene inoltre registrato un identificatore esterno, potenzialmente correlato a sistemi differenti.",9
357,technical_body_to_technical_body,"Memorizza le relazioni tra i corpi tecnici, indicando il tipo di legame e il periodo di validità. Non ci sono informazioni sufficienti per determinare se queste relazioni siano gerarchiche, associative o di altro tipo specifico oltre al codice generico.","Memorizza le relazioni tra i corpi tecnici, indicando il tipo di legame e il periodo di validità. Non ci sono informazioni sufficienti per determinare se queste relazioni siano gerarchiche, associative o di altro tipo specifico oltre al codice generico.",9
358,technical_body,"Informazioni sui Technical Body di CEN, ISO, UNI ed Enti Federati responsabili dello sviluppo e mantenimento degli standard. Questa tabella include anche riferimenti incrociati a sistemi ID esterni come Tyl System e Global Directory.","Informazioni sui Technical Body di CEN, ISO, UNI ed Enti Federati responsabili dello sviluppo e mantenimento degli standard. Questa tabella include anche riferimenti incrociati a sistemi ID esterni come Tyl System e Global Directory.",9
359,user,"Fornisce dettagli sugli utenti, inclusi i loro nomi di accesso, nomi e informazioni di contatto.","Fornisce dettagli sugli utenti, inclusi i loro nomi di accesso, nomi e informazioni di contatto.",9
360,classification_to_classification,"Rappresenta una relazione molti-a-molti tra gli elementi di classificazione, collegando i classificatori left_classification_id e right_classification_id tramite un classification_type_id.","Rappresenta una relazione molti-a-molti tra gli elementi di classificazione, collegando i classificatori left_classification_id e right_classification_id tramite un classification_type_id.",9
361,project_to_project,"Rappresenta la relazione tra progetti diversi, definendo come i progetti sono collegati tra loro. Il campo commento fornisce dettagli testuali sui cambiamenti specifici quando viene creata una relazione, mentre relationship_type_code indica il tipo di relazione tra il progetto di sinistra e quello di destra. I campi left_project_id e right_project_id sono le chiavi esterne per i progetti coinvolti nella relazione.","Rappresenta la relazione tra progetti diversi, definendo come i progetti sono collegati tra loro. Il campo commento fornisce dettagli testuali sui cambiamenti specifici quando viene creata una relazione, mentre relationship_type_code indica il tipo di relazione tra il progetto di sinistra e quello di destra. I campi left_project_id e right_project_id sono le chiavi esterne per i progetti coinvolti nella relazione.",9
362,stage,"Contiene le fasi di un progetto, rappresentando lo storico dello sviluppo del progetto e le diverse fasi che un progetto attraversa. Registra la data di raggiungimento della fase, la data di previsione, il processo proprietario e lo stato della fase (nuovo, in esecuzione, chiuso, interrotto).","Contiene le fasi di un progetto, rappresentando lo storico dello sviluppo del progetto e le diverse fasi che un progetto attraversa. Registra la data di raggiungimento della fase, la data di previsione, il processo proprietario e lo stato della fase (nuovo, in esecuzione, chiuso, interrotto).",9
363,standard_status,"Stato dei documenti rispetto al loro processo di produzione, corrispondente al campo iso_product.revisionstatus, che indica lo stato di revisione del documento. Contiene codici e descrizioni degli stati sia in inglese che in italiano.","Stato dei documenti rispetto al loro processo di produzione, corrispondente al campo iso_product.revisionstatus, che indica lo stato di revisione del documento. Contiene codici e descrizioni degli stati sia in inglese che in italiano.",9
364,teacher_text,"Testo descrittivo associato ai docenti, potenzialmente per informazioni biografiche o qualifiche, disponibile in diverse lingue.","Testo descrittivo associato ai docenti, potenzialmente per informazioni biografiche o qualifiche, disponibile in diverse lingue.",9
365,user_to_technical_body,"Associa gli utenti ai corpi tecnici, registrando il tipo di relazione e le date di inizio e fine dell'associazione.","Associa gli utenti ai corpi tecnici, registrando il tipo di relazione e le date di inizio e fine dell'associazione.",9
