id,evidence
16d764a3-14f7-4cba-9a39-dc88741cc4c7,the highest longitude refers to the school with the maximum absolute longitude value.
56a07e74-0ac3-4d46-8e41-2be9b02af849,non-chartered schools refer to schools whose Charter = 0; K-12 means grades 1 through 12; percent of eligible free rate for K-12 = `Free Meal Count (K-12)` * 100 / `Enrollment (K-12)`
689f753e-a3bc-49ca-943e-a18b1bc80fa3,Magnet schools or offer a magnet program means that Magnet = 1
db5c9782-b267-44fe-9938-b70958a3e488,State Special Schools means that SOC = 31.
257bdfc4-1426-41b8-b18a-740942a37692,"Usually, administrators manage the school stuff."
e9306923-f433-4cba-b58b-efd9c75e759b,between 1/1/1980 and 12/31/1980 means the year = 1980
6219a6f6-7f7c-40b7-a889-704ec9d87906,Percent (%) Eligible FRPM (Ages 5-17) can be acquired by `FRPM Count (Ages 5-17)` / `Enrollment (Ages 5-17)` * 100
0286aa5e-d08e-45ce-9aa0-3986498869d1,"When magent is equal to 0 in the database, it means ths school doesn't offer a magnet program."
b546d64f-e35a-4826-b089-3fa73bfa81ff,Charter schools refers to `Charter School (Y/N)` = 1 in the frpm
06e33dbc-040d-41b8-8253-8f56dfd978d5,Total SAT scores can be computed by AvgScrRead + AvgScrMath + AvgScrWrite
484c773f-03da-4902-b656-b40e73916fb6,Fresno Unified is a name of district;
a0936243-c22b-4da5-a228-fff496d92125,Ratio = count(schools in Colusa) / count(schools in Humboldt)
3badd8de-80c0-4c12-bc4b-762912290ed1,Exclusively virtual refers to Virtual = 'F'
9a6bbd34-2c37-4caa-8f51-1ab35caa32a1,State of California refers to state = 'CA'
94b31ae3-4bc8-4d06-b260-e51897abfacb,Charted school means `Charter School (Y/N)` = 1 in the table frpm; Students enrolled in grades 1 through 12 refers to `Enrollment (K-12)`
70110841-71f1-4f55-b63a-4a08f84d7490,Postal street and mailing street are synonyms.
1cb058ac-b6c7-4ffb-9573-3f8b2745832d,Charter schools refers to `Charter School (Y/N)` = 1 in the table fprm
045b4489-b7e0-41b4-9a61-4e89fa78d7d3,Communication number refers to phone number.
890d0efb-4253-49e5-8e6c-3b53db8b228c,Eligible free rates for students aged 5-17 = `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)`
28207e75-446c-411f-81f6-f5468d3e71c7,Virtual = 'P' means partially virtual; Charter schools refers to Charter = 1 in the table schools
3afa5719-69b0-4489-9e72-7fbe108b69bc,Excellence rate = NumGE1500 / NumTstTakr
2a7ea1ce-a80d-48b2-aa91-a883c2ab7f37,"Full communication address should include Street, City, State and zip code if any."
5ecc88bc-5c5a-4b64-9b8c-a66810dfd302,Youth Authority Facilities (CEA) refers to SOC = 11; 1980s = years between 1980 and 1989
39ae99b4-8724-47a0-90e4-3da9151119ba,"full name means first name, last name; There are at most 3 administrators for each school; SAT Scores are greater or equal to 1500 refers to NumGE1500"
30305d7b-68f8-49c8-9546-6ac43db9a450,K-12 refers to students in grades 1 through 12; Eligible free rate for K-12 = `Free Meal Count (K-12)` / `Enrollment (K-12)`
14fd94c1-485c-49fa-b1d1-77843e2090d4,Exclusively virtual refers to Virtual = 'F'; respective counties means PARTITION BY County
